Company Name,PE,Mcap/Sales,P/BV,EV/EBIDTA,D/E,ROCE,ROE
Asian Paints Ltd,58.54,8.38,0.06,37.64,0.13,37.82,32.01
Britannia Industries Ltd,63.86,8.41,0.03,45.22,0.68,48.39,57.1
Cipla Ltd,27.83,4.8,0.22,19.56,0.03,22.27,16.58
Eicher Motors Ltd,31.87,7.93,0.14,32.09,0.01,33.01,26.24
Nestle India Ltd,74.67,9.6,0.01,42.11,0.11,69.17,108.49
Grasim Industries Ltd,29.26,1.32,0.51,11.85,1.43,8.21,11.86
Hero MotoCorp Ltd,27.37,2.73,0.17,19.97,0.03,28.37,21.79
Hindalco Industries Ltd,13.44,0.63,0.77,7.37,0.58,10.71,10.11
Hindustan Unilever Ltd,62.52,10.44,0.08,44.64,0.03,25.0,20.26
ITC Ltd,29.66,8.56,0.12,23.61,0.0,37.31,28.89
Larsen & Toubro Ltd,37.05,2.23,0.18,19.42,1.35,14.45,17.72
Mahindra & Mahindra Ltd,29.63,2.35,0.2,18.14,1.6,13.76,20.02
Reliance Industries Ltd,28.66,2.24,0.4,23.63,0.52,9.96,9.91
Tata Consumer Products Ltd,87.55,7.71,0.16,61.99,0.16,10.64,9.33
Tata Motors Ltd,9.92,0.85,0.21,6.6,1.85,17.43,48.84
Tata Steel Ltd,93.91,0.82,0.48,13.1,0.89,6.61,7.33
Wipro Ltd,22.9,2.85,0.29,15.77,0.22,16.38,14.6
Apollo Hospitals Enterprise Ltd,106.68,5.76,0.07,45.66,0.71,14.16,15.04
Dr Reddys Laboratories Ltd,20.4,4.05,0.25,15.03,0.06,26.59,21.64
Titan Company Ltd,85.76,5.8,0.03,119.49,1.17,22.46,32.91
State Bank of India,9.74,1.62,0.58,29.72,0.0,0.0,18.97
Shriram Finance Ltd,14.09,2.93,0.46,10.78,3.89,11.3,15.99
Bharat Petroleum Corporation Ltd,7.45,0.31,0.52,26.88,1.27,6.75,6.34
Kotak Mahindra Bank Ltd,18.89,6.26,0.37,87.89,0.0,0.0,14.84
Infosys Ltd,27.27,4.73,0.1,20.55,0.12,44.74,37.12
Bajaj Finance Ltd,27.12,7.36,0.19,17.65,3.89,11.92,22.05
Adani Enterprises Ltd,82.13,3.64,0.1,42.92,1.64,8.94,9.14
Sun Pharmaceuticals Industries Ltd,38.84,8.45,0.16,30.18,0.08,17.2,16.13
JSW Steel Ltd,31.05,1.24,0.36,12.04,1.18,13.51,12.52
HDFC Bank Ltd,17.89,4.3,0.39,36.51,0.0,0.0,17.55
Tata Consultancy Services Ltd,31.71,6.26,0.06,23.76,0.09,62.85,51.04
ICICI Bank Ltd,18.12,6.78,0.33,63.47,0.0,0.0,17.66
Power Grid Corporation of India Ltd,20.2,7.48,0.27,11.84,1.49,12.62,18.24
Maruti Suzuki India Ltd,25.93,3.24,0.22,35.59,0.01,13.92,11.52
IndusInd Bank Ltd,11.91,2.95,0.58,20.94,0.0,0.0,14.53
Axis Bank Ltd,13.02,3.09,0.47,21.28,0.0,0.0,18.43
HCL Technologies Ltd,26.14,3.91,0.16,17.58,0.08,28.63,23.51
Oil & Natural Gas Corpn Ltd,8.42,0.61,0.88,7.05,0.49,13.34,14.13
NTPC Ltd,18.79,2.28,0.4,13.61,1.53,9.69,12.13
Coal India Ltd,8.41,2.16,0.27,6.1,0.08,30.47,52.06
Bharti Airtel Ltd,67.39,5.75,0.1,15.03,2.77,13.67,17.11
Tech Mahindra Ltd,57.62,2.79,0.18,30.23,0.1,11.01,8.78
LTIMindtree Ltd,35.42,4.55,0.12,25.22,0.1,30.98,25.05
Divis Laboratories Ltd,76.53,16.33,0.11,60.63,0.0,16.41,12.15
Adani Ports & Special Economic Zone Ltd,32.22,12.08,0.16,25.37,1.04,11.96,16.51
HDFC Life Insurance Company Ltd,89.34,1.44,0.11,274.03,0.07,0.37,11.38
SBI Life Insurance Company Ltd,82.53,2.08,0.09,758.75,0.0,0.66,14.14
UltraTech Cement Ltd,46.46,4.61,0.18,26.76,0.2,14.96,12.23
Bajaj Auto Ltd,32.87,5.87,0.11,30.58,0.03,33.43,26.43
Bajaj Finserv Ltd,29.93,2.26,0.24,13.05,4.7,13.15,29.22
